Country,Code,Year,ElectricityGeneration(TWh)
Afghanistan,AFG,2019,1.032
Africa,,2019,870.1102509
Albania,ALB,2019,5.17594
Algeria,DZA,2019,74.34822667
American Samoa,ASM,2019,0.163
Angola,AGO,2019,12.47775333
Antarctica,ATA,2019,0
Antigua and Barbuda,ATG,2019,0.341666667
Argentina,ARG,2019,132.68261
Armenia,ARM,2019,7.25647
Aruba,ABW,2019,0.991378667
Asia Pacific,,2019,12690.48235
Australia,AUS,2019,265.117091
Austria,AUT,2019,71.6257507
Azerbaijan,AZE,2019,24.59596333
Bahamas,BHS,2019,1.910826333
Bahrain,BHR,2019,28.11525
Bangladesh,BGD,2019,79.78061533
Barbados,BRB,2019,1.014666667
Belarus,BLR,2019,37.7155
Belgium,BEL,2019,90.30344203
Belize,BLZ,2019,0.454112667
Benin,BEN,2019,0.150486667
Bermuda,BMU,2019,0.591333333
Bhutan,BTN,2019,6.61038
Bolivia,BOL,2019,9.73909
Bosnia and Herzegovina,BIH,2019,16.29107667
Botswana,BWA,2019,3.028666667
Brazil,BRA,2019,615.35328
British Virgin Islands,VGB,2019,0.069558
Brunei,BRN,2019,4.065933333
Bulgaria,BGR,2019,43.80473649
Burkina Faso,BFA,2019,1.243966667
Burundi,BDI,2019,0.346717333
CIS,CIS,2019,1431.039072
Cambodia,KHM,2019,7.58694
Cameroon,CMR,2019,8.720433333
Canada,CAN,2019,632.401003
Cayman Islands,CYM,2019,0.695165
Central African Republic,CAF,2019,0.151
Central America,,2019,57.71392114
Chad,TCD,2019,0.231
Chile,CHL,2019,78.415551
China,CHN,2019,7326.7
Colombia,COL,2019,75.04016
Comoros,COM,2019,0.117066667
Congo,COG,2019,3.59438
Cook Islands,COK,2019,0.043729
Costa Rica,CRI,2019,11.38597
Croatia,HRV,2019,12.561004
Cuba,CUB,2019,19.76575333
Cyprus,CYP,2019,4.908453639
Czechia,CZE,2019,85.41883533
Democratic Republic of Congo,COD,2019,11.01058667
Denmark,DNK,2019,29.77218486
Djibouti,DJI,2019,0.041
Dominica,DMA,2019,0.090178
Dominican Republic,DOM,2019,18.51525333
EU-27,,2019,2881.629238
EU27+1,,2019,3201.144477
Eastern Africa,,2019,115.2786116
Ecuador,ECU,2019,31.67887
